"Package","Class Name","TCC value"
"org.apache.commons.collections4.ArrayStack","ArrayStack","0/15"
"org.apache.commons.collections4.ArrayUtils",,
"org.apache.commons.collections4.bag.AbstractBagDecorator","AbstractBagDecorator","0/21"
"org.apache.commons.collections4.bag.AbstractMapBag","AbstractMapBag","83/300"
"org.apache.commons.collections4.bag.AbstractSortedBagDecorator","AbstractSortedBagDecorator","0/6"
"org.apache.commons.collections4.bag.CollectionBag","CollectionBag","0/45"
"org.apache.commons.collections4.bag.CollectionSortedBag","CollectionSortedBag","0/45"
"org.apache.commons.collections4.bag.HashBag","HashBag","0/1"
"org.apache.commons.collections4.bag.PredicatedBag","PredicatedBag","0/28"
"org.apache.commons.collections4.bag.PredicatedSortedBag","PredicatedSortedBag","0/10"
"org.apache.commons.collections4.bag.SynchronizedBag","SynchronizedBag","0/28"
"org.apache.commons.collections4.bag.SynchronizedSortedBag","SynchronizedSortedBag","0/10"
"org.apache.commons.collections4.bag.TransformedBag","TransformedBag","0/36"
"org.apache.commons.collections4.bag.TransformedSortedBag","TransformedSortedBag","0/15"
"org.apache.commons.collections4.bag.TreeBag","TreeBag","0/21"
"org.apache.commons.collections4.bag.UnmodifiableBag","UnmodifiableBag","0/91"
"org.apache.commons.collections4.bag.UnmodifiableSortedBag","UnmodifiableSortedBag","0/91"
"org.apache.commons.collections4.Bag","Bag","0/55"
"org.apache.commons.collections4.BagUtils","BagUtils","0/55"
"org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator","AbstractBidiMapDecorator","0/15"
"org.apache.commons.collections4.bidimap.AbstractDualBidiMap","AbstractDualBidiMap","77/253"
"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator","AbstractOrderedBidiMapDecorator","0/21"
"org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator","AbstractSortedBidiMapDecorator","0/21"
"org.apache.commons.collections4.bidimap.DualHashBidiMap","DualHashBidiMap","0/3"
"org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap","DualLinkedHashBidiMap","0/3"
"org.apache.commons.collections4.bidimap.DualTreeBidiMap","DualTreeBidiMap","0/120"
"org.apache.commons.collections4.bidimap.TreeBidiMap","TreeBidiMap","120/1953"
"org.apache.commons.collections4.bidimap.UnmodifiableBidiMap","UnmodifiableBidiMap","0/55"
"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap","UnmodifiableOrderedBidiMap","0/66"
"org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap","UnmodifiableSortedBidiMap","0/91"
"org.apache.commons.collections4.BidiMap","BidiMap","0/10"
"org.apache.commons.collections4.bloomfilter.AbstractBloomFilter","AbstractBloomFilter","6/66"
"org.apache.commons.collections4.bloomfilter.ArrayCountingBloomFilter","ArrayCountingBloomFilter","40/231"
"org.apache.commons.collections4.bloomfilter.BitSetBloomFilter","BitSetBloomFilter","21/36"
"org.apache.commons.collections4.bloomfilter.BloomFilter","BloomFilter","0/55"
"org.apache.commons.collections4.bloomfilter.BloomFilterIndexer","BloomFilterIndexer","0/3"
"org.apache.commons.collections4.bloomfilter.CountingBloomFilter","CountingBloomFilter","0/28"
"org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher","Builder","0/6"
"org.apache.commons.collections4.bloomfilter.hasher.function.MD5Cyclic","MD5Cyclic","0/15"
"org.apache.commons.collections4.bloomfilter.hasher.function.Murmur128x64Cyclic","Murmur128x64Cyclic","0/15"
"org.apache.commons.collections4.bloomfilter.hasher.function.Murmur32x86Iterative","Murmur32x86Iterative","0/15"
"org.apache.commons.collections4.bloomfilter.hasher.function.ObjectsHashIterative","ObjectsHashIterative","0/15"
"org.apache.commons.collections4.bloomfilter.hasher.function.Signatures",,
"org.apache.commons.collections4.bloomfilter.hasher.Hasher","Hasher","0/1"
"org.apache.commons.collections4.bloomfilter.hasher.HashFunction","HashFunction","0/1"
"org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentity","HashFunctionIdentity","0/21"
"org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentityImpl","HashFunctionIdentityImpl","0/10"
"org.apache.commons.collections4.bloomfilter.hasher.HashFunctionValidator","HashFunctionValidator","0/3"
"org.apache.commons.collections4.bloomfilter.hasher.Shape","Shape","40/105"
"org.apache.commons.collections4.bloomfilter.hasher.StaticHasher","StaticHasher","4/10"
"org.apache.commons.collections4.bloomfilter.HasherBloomFilter","HasherBloomFilter","10/15"
"org.apache.commons.collections4.bloomfilter.IndexFilters",,
"org.apache.commons.collections4.bloomfilter.SetOperations","SetOperations","0/36"
"org.apache.commons.collections4.BoundedCollection","BoundedCollection","0/1"
"org.apache.commons.collections4.BoundedMap","BoundedMap","0/1"
"org.apache.commons.collections4.Closure","Closure","0/0"
"org.apache.commons.collections4.ClosureUtils","ClosureUtils","0/120"
"org.apache.commons.collections4.collection.AbstractCollectionDecorator","AbstractCollectionDecorator","1/136"
"org.apache.commons.collections4.collection.CompositeCollection","CollectionMutator","0/3"
"org.apache.commons.collections4.collection.IndexedCollection","IndexedCollection","28/120"
"org.apache.commons.collections4.collection.PredicatedCollection","Builder","16/78"
"org.apache.commons.collections4.collection.SynchronizedCollection","SynchronizedCollection","105/171"
"org.apache.commons.collections4.collection.TransformedCollection","TransformedCollection","1/15"
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection","UnmodifiableBoundedCollection","0/78"
"org.apache.commons.collections4.collection.UnmodifiableCollection","UnmodifiableCollection","0/36"
"org.apache.commons.collections4.CollectionUtils","CollectionUtils","0/2415"
"org.apache.commons.collections4.comparators.BooleanComparator","BooleanComparator","12/21"
"org.apache.commons.collections4.comparators.ComparableComparator","ComparableComparator","0/6"
"org.apache.commons.collections4.comparators.ComparatorChain","ComparatorChain","35/78"
"org.apache.commons.collections4.comparators.FixedOrderComparator","UnknownObjectBehavior","20/0"
"org.apache.commons.collections4.comparators.NullComparator","NullComparator","3/3"
"org.apache.commons.collections4.comparators.ReverseComparator","ReverseComparator","3/3"
"org.apache.commons.collections4.comparators.TransformingComparator","TransformingComparator","3/3"
"org.apache.commons.collections4.ComparatorUtils","ComparatorUtils","15/45"
"org.apache.commons.collections4.EnumerationUtils","EnumerationUtils","0/6"
"org.apache.commons.collections4.Equator","Equator","0/1"
"org.apache.commons.collections4.Factory","Factory","0/0"
"org.apache.commons.collections4.FactoryUtils","FactoryUtils","0/15"
"org.apache.commons.collections4.FluentIterable","FluentIterable","253/496"
"org.apache.commons.collections4.FunctorException","FunctorException","0/0"
"org.apache.commons.collections4.functors.AbstractQuantifierPredicate","AbstractQuantifierPredicate","0/0"
"org.apache.commons.collections4.functors.AllPredicate","AllPredicate","0/3"
"org.apache.commons.collections4.functors.AndPredicate","AndPredicate","1/3"
"org.apache.commons.collections4.functors.AnyPredicate","AnyPredicate","0/3"
"org.apache.commons.collections4.functors.CatchAndRethrowClosure","CatchAndRethrowClosure","0/1"
"org.apache.commons.collections4.functors.ChainedClosure","ChainedClosure","1/6"
"org.apache.commons.collections4.functors.ChainedTransformer","ChainedTransformer","1/6"
"org.apache.commons.collections4.functors.CloneTransformer","CloneTransformer","0/1"
"org.apache.commons.collections4.functors.ClosureTransformer","ClosureTransformer","1/3"
"org.apache.commons.collections4.functors.ComparatorPredicate","Criterion","1/0"
"org.apache.commons.collections4.functors.ConstantFactory","ConstantFactory","1/3"
"org.apache.commons.collections4.functors.ConstantTransformer","ConstantTransformer","1/15"
"org.apache.commons.collections4.functors.DefaultEquator","DefaultEquator","1/6"
"org.apache.commons.collections4.functors.EqualPredicate","EqualPredicate","2/6"
"org.apache.commons.collections4.functors.ExceptionClosure","ExceptionClosure","1/3"
"org.apache.commons.collections4.functors.ExceptionFactory","ExceptionFactory","1/3"
"org.apache.commons.collections4.functors.ExceptionPredicate","ExceptionPredicate","1/3"
"org.apache.commons.collections4.functors.ExceptionTransformer","ExceptionTransformer","1/3"
"org.apache.commons.collections4.functors.FactoryTransformer","FactoryTransformer","1/3"
"org.apache.commons.collections4.functors.FalsePredicate","FalsePredicate","1/3"
"org.apache.commons.collections4.functors.ForClosure","ForClosure","2/6"
"org.apache.commons.collections4.functors.FunctorUtils",,
"org.apache.commons.collections4.functors.IdentityPredicate","IdentityPredicate","1/3"
"org.apache.commons.collections4.functors.IfClosure","IfClosure","3/15"
"org.apache.commons.collections4.functors.IfTransformer","IfTransformer","3/15"
"org.apache.commons.collections4.functors.InstanceofPredicate","InstanceofPredicate","1/3"
"org.apache.commons.collections4.functors.InstantiateFactory","InstantiateFactory","1/3"
"org.apache.commons.collections4.functors.InstantiateTransformer","InstantiateTransformer","0/3"
"org.apache.commons.collections4.functors.InvokerTransformer","InvokerTransformer","0/3"
"org.apache.commons.collections4.functors.MapTransformer","MapTransformer","1/3"
"org.apache.commons.collections4.functors.NonePredicate","NonePredicate","0/3"
"org.apache.commons.collections4.functors.NOPClosure","NOPClosure","1/3"
"org.apache.commons.collections4.functors.NOPTransformer","NOPTransformer","1/3"
"org.apache.commons.collections4.functors.NotNullPredicate","NotNullPredicate","1/3"
"org.apache.commons.collections4.functors.NotPredicate","NotPredicate","1/3"
"org.apache.commons.collections4.functors.NullIsExceptionPredicate","NullIsExceptionPredicate","1/3"
"org.apache.commons.collections4.functors.NullIsFalsePredicate","NullIsFalsePredicate","1/3"
"org.apache.commons.collections4.functors.NullIsTruePredicate","NullIsTruePredicate","1/3"
"org.apache.commons.collections4.functors.NullPredicate","NullPredicate","1/3"
"org.apache.commons.collections4.functors.OnePredicate","OnePredicate","0/3"
"org.apache.commons.collections4.functors.OrPredicate","OrPredicate","1/3"
"org.apache.commons.collections4.functors.PredicateDecorator","PredicateDecorator","0/0"
"org.apache.commons.collections4.functors.PredicateTransformer","PredicateTransformer","1/3"
"org.apache.commons.collections4.functors.PrototypeFactory","PrototypeFactory","0/0"
"org.apache.commons.collections4.functors.StringValueTransformer","StringValueTransformer","1/3"
"org.apache.commons.collections4.functors.SwitchClosure","SwitchClosure","3/15"
"org.apache.commons.collections4.functors.SwitchTransformer","SwitchTransformer","3/15"
"org.apache.commons.collections4.functors.TransformedPredicate","TransformedPredicate","2/6"
"org.apache.commons.collections4.functors.TransformerClosure","TransformerClosure","1/3"
"org.apache.commons.collections4.functors.TransformerPredicate","TransformerPredicate","1/3"
"org.apache.commons.collections4.functors.TruePredicate","TruePredicate","1/3"
"org.apache.commons.collections4.functors.UniquePredicate","UniquePredicate","0/1"
"org.apache.commons.collections4.functors.WhileClosure","WhileClosure","3/10"
"org.apache.commons.collections4.Get","Get","0/36"
"org.apache.commons.collections4.IterableGet","IterableGet","0/0"
"org.apache.commons.collections4.IterableMap","IterableMap","0/0"
"org.apache.commons.collections4.IterableSortedMap","IterableSortedMap","0/0"
"org.apache.commons.collections4.IterableUtils","IterableUtils","0/861"
"org.apache.commons.collections4.iterators.AbstractEmptyIterator",,
"org.apache.commons.collections4.iterators.AbstractEmptyMapIterator","AbstractEmptyMapIterator","0/3"
"org.apache.commons.collections4.iterators.AbstractIteratorDecorator","AbstractIteratorDecorator","0/0"
"org.apache.commons.collections4.iterators.AbstractListIteratorDecorator","AbstractListIteratorDecorator","45/45"
"org.apache.commons.collections4.iterators.AbstractMapIteratorDecorator","AbstractMapIteratorDecorator","21/21"
"org.apache.commons.collections4.iterators.AbstractOrderedMapIteratorDecorator","AbstractOrderedMapIteratorDecorator","36/36"
"org.apache.commons.collections4.iterators.AbstractUntypedIteratorDecorator","AbstractUntypedIteratorDecorator","3/3"
"org.apache.commons.collections4.iterators.ArrayIterator","ArrayIterator","6/28"
"org.apache.commons.collections4.iterators.ArrayListIterator","ArrayListIterator","6/28"
"org.apache.commons.collections4.iterators.BoundedIterator","BoundedIterator","9/10"
"org.apache.commons.collections4.iterators.CollatingIterator","CollatingIterator","50/120"
"org.apache.commons.collections4.iterators.EmptyIterator","EmptyIterator","0/1"
"org.apache.commons.collections4.iterators.EmptyListIterator","EmptyListIterator","0/1"
"org.apache.commons.collections4.iterators.EmptyMapIterator","EmptyMapIterator","0/0"
"org.apache.commons.collections4.iterators.EmptyOrderedIterator","EmptyOrderedIterator","0/0"
"org.apache.commons.collections4.iterators.EmptyOrderedMapIterator","EmptyOrderedMapIterator","0/0"
"org.apache.commons.collections4.iterators.EntrySetMapIterator","EntrySetMapIterator","24/28"
"org.apache.commons.collections4.iterators.EnumerationIterator","EnumerationIterator","7/10"
"org.apache.commons.collections4.iterators.FilterIterator","FilterIterator","20/28"
"org.apache.commons.collections4.iterators.FilterListIterator","FilterListIterator","35/136"
"org.apache.commons.collections4.iterators.IteratorChain","IteratorChain","12/36"
"org.apache.commons.collections4.iterators.IteratorEnumeration","IteratorEnumeration","6/6"
"org.apache.commons.collections4.iterators.IteratorIterable","IteratorIterable","1/1"
"org.apache.commons.collections4.iterators.LazyIteratorChain","LazyIteratorChain","6/10"
"org.apache.commons.collections4.iterators.ListIteratorWrapper","ListIteratorWrapper","45/45"
"org.apache.commons.collections4.iterators.LoopingIterator","LoopingIterator","8/10"
"org.apache.commons.collections4.iterators.LoopingListIterator","LoopingListIterator","46/66"
"org.apache.commons.collections4.iterators.NodeListIterator","NodeListIterator","1/3"
"org.apache.commons.collections4.iterators.ObjectArrayIterator","ObjectArrayIterator","6/21"
"org.apache.commons.collections4.iterators.ObjectArrayListIterator","ObjectArrayListIterator","6/28"
"org.apache.commons.collections4.iterators.ObjectGraphIterator","ObjectGraphIterator","11/15"
"org.apache.commons.collections4.iterators.PeekingIterator","PeekingIterator","17/21"
"org.apache.commons.collections4.iterators.PermutationIterator","PermutationIterator","1/3"
"org.apache.commons.collections4.iterators.PushbackIterator","PushbackIterator","5/10"
"org.apache.commons.collections4.iterators.ReverseListIterator","ReverseListIterator","45/45"
"org.apache.commons.collections4.iterators.SingletonIterator","SingletonIterator","6/6"
"org.apache.commons.collections4.iterators.SingletonListIterator","SingletonListIterator","32/45"
"org.apache.commons.collections4.iterators.SkippingIterator","SkippingIterator","3/3"
"org.apache.commons.collections4.iterators.TransformIterator","TransformIterator","13/28"
"org.apache.commons.collections4.iterators.UniqueFilterIterator","UniqueFilterIterator","0/0"
"org.apache.commons.collections4.iterators.UnmodifiableIterator","UnmodifiableIterator","3/6"
"org.apache.commons.collections4.iterators.UnmodifiableListIterator","UnmodifiableListIterator","28/55"
"org.apache.commons.collections4.iterators.UnmodifiableMapIterator","UnmodifiableMapIterator","10/21"
"org.apache.commons.collections4.iterators.UnmodifiableOrderedMapIterator","UnmodifiableOrderedMapIterator","21/36"
"org.apache.commons.collections4.iterators.ZippingIterator","ZippingIterator","2/3"
"org.apache.commons.collections4.IteratorUtils","IteratorUtils","0/2346"
"org.apache.commons.collections4.keyvalue.AbstractKeyValue","AbstractKeyValue","2/10"
"org.apache.commons.collections4.keyvalue.AbstractMapEntry","AbstractMapEntry","0/3"
"org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator","AbstractMapEntryDecorator","21/21"
"org.apache.commons.collections4.keyvalue.DefaultKeyValue","DefaultKeyValue","0/10"
"org.apache.commons.collections4.keyvalue.DefaultMapEntry","DefaultMapEntry","0/0"
"org.apache.commons.collections4.keyvalue.MultiKey","MultiKey","22/91"
"org.apache.commons.collections4.keyvalue.TiedMapEntry","TiedMapEntry","6/15"
"org.apache.commons.collections4.keyvalue.UnmodifiableMapEntry","UnmodifiableMapEntry","0/0"
"org.apache.commons.collections4.KeyValue","KeyValue","0/1"
"org.apache.commons.collections4.list.AbstractLinkedList","AbstractLinkedList","100/1081"
"org.apache.commons.collections4.list.AbstractListDecorator","AbstractListDecorator","0/78"
"org.apache.commons.collections4.list.AbstractSerializableListDecorator","AbstractSerializableListDecorator","0/1"
"org.apache.commons.collections4.list.CursorableLinkedList","Cursor","5/28"
"org.apache.commons.collections4.list.FixedSizeList","FixedSizeList","0/231"
"org.apache.commons.collections4.list.GrowthList","GrowthList","0/6"
"org.apache.commons.collections4.list.LazyList","LazyList","3/10"
"org.apache.commons.collections4.list.NodeCachingLinkedList","NodeCachingLinkedList","17/55"
"org.apache.commons.collections4.list.PredicatedList","PredicatedList","0/91"
"org.apache.commons.collections4.list.SetUniqueList","SetUniqueList","91/190"
"org.apache.commons.collections4.list.TransformedList","TransformedList","0/105"
"org.apache.commons.collections4.list.TreeList","TreeList","32/91"
"org.apache.commons.collections4.list.UnmodifiableList","UnmodifiableList","0/120"
"org.apache.commons.collections4.ListUtils","ListUtils","0/325"
"org.apache.commons.collections4.ListValuedMap","ListValuedMap","0/1"
"org.apache.commons.collections4.map.AbstractHashedMap","AbstractHashedMap","169/1035"
"org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator",,
"org.apache.commons.collections4.map.AbstractIterableMap","AbstractIterableMap","0/0"
"org.apache.commons.collections4.map.AbstractLinkedMap","AbstractLinkedMap","36/153"
"org.apache.commons.collections4.map.AbstractMapDecorator","AbstractMapDecorator","0/120"
"org.apache.commons.collections4.map.AbstractOrderedMapDecorator","AbstractOrderedMapDecorator","0/15"
"org.apache.commons.collections4.map.AbstractReferenceMap","ReferenceStrength","9/0"
"org.apache.commons.collections4.map.AbstractSortedMapDecorator","AbstractSortedMapDecorator","0/45"
"org.apache.commons.collections4.map.CaseInsensitiveMap","CaseInsensitiveMap","0/6"
"org.apache.commons.collections4.map.CompositeMap","MapMutator","0/3"
"org.apache.commons.collections4.map.DefaultedMap","DefaultedMap","0/15"
"org.apache.commons.collections4.map.EntrySetToMapIteratorAdapter","EntrySetToMapIteratorAdapter","8/28"
"org.apache.commons.collections4.map.FixedSizeMap","FixedSizeMap","0/66"
"org.apache.commons.collections4.map.FixedSizeSortedMap","FixedSizeSortedMap","0/120"
"org.apache.commons.collections4.map.Flat3Map","Flat3Map","153/210"
"org.apache.commons.collections4.map.HashedMap","HashedMap","0/3"
"org.apache.commons.collections4.map.LazyMap","LazyMap","1/10"
"org.apache.commons.collections4.map.LazySortedMap","LazySortedMap","0/36"
"org.apache.commons.collections4.map.LinkedMap","LinkedMap","0/28"
"org.apache.commons.collections4.map.ListOrderedMap","ListOrderedMap","78/325"
"org.apache.commons.collections4.map.LRUMap","LRUMap","16/105"
"org.apache.commons.collections4.map.MultiKeyMap","MultiKeyMap","0/666"
"org.apache.commons.collections4.map.MultiValueMap","MultiValueMap","1/190"
"org.apache.commons.collections4.map.PassiveExpiringMap","ExpirationPolicy","0/0"
"org.apache.commons.collections4.map.PredicatedMap","PredicatedMap","6/28"
"org.apache.commons.collections4.map.PredicatedSortedMap","PredicatedSortedMap","0/28"
"org.apache.commons.collections4.map.ReferenceIdentityMap","ReferenceIdentityMap","0/15"
"org.apache.commons.collections4.map.ReferenceMap","ReferenceMap","0/1"
"org.apache.commons.collections4.map.SingletonMap","SingletonMap","29/378"
"org.apache.commons.collections4.map.StaticBucketMap","StaticBucketMap","45/136"
"org.apache.commons.collections4.map.TransformedMap","TransformedMap","12/55"
"org.apache.commons.collections4.map.TransformedSortedMap","TransformedSortedMap","0/36"
"org.apache.commons.collections4.map.UnmodifiableEntrySet","UnmodifiableEntrySet","0/55"
"org.apache.commons.collections4.map.UnmodifiableMap","UnmodifiableMap","0/55"
"org.apache.commons.collections4.map.UnmodifiableOrderedMap","UnmodifiableOrderedMap","0/55"
"org.apache.commons.collections4.map.UnmodifiableSortedMap","UnmodifiableSortedMap","0/120"
"org.apache.commons.collections4.MapIterator","MapIterator","0/15"
"org.apache.commons.collections4.MapUtils","MapUtils","0/4278"
"org.apache.commons.collections4.multimap.AbstractListValuedMap","AbstractListValuedMap","0/10"
"org.apache.commons.collections4.multimap.AbstractMultiValuedMap","AbstractMultiValuedMap","10/378"
"org.apache.commons.collections4.multimap.AbstractMultiValuedMapDecorator","AbstractMultiValuedMapDecorator","1/253"
"org.apache.commons.collections4.multimap.AbstractSetValuedMap","AbstractSetValuedMap","0/10"
"org.apache.commons.collections4.multimap.ArrayListValuedHashMap","ArrayListValuedHashMap","0/6"
"org.apache.commons.collections4.multimap.HashSetValuedHashMap","HashSetValuedHashMap","0/3"
"org.apache.commons.collections4.multimap.TransformedMultiValuedMap","TransformedMultiValuedMap","5/28"
"org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMap","UnmodifiableMultiValuedMap","0/105"
"org.apache.commons.collections4.MultiMap","MultiMap","0/21"
"org.apache.commons.collections4.MultiMapUtils","MultiMapUtils","1/55"
"org.apache.commons.collections4.multiset.AbstractMapMultiSet","AbstractMapMultiSet","110/171"
"org.apache.commons.collections4.multiset.AbstractMultiSet","AbstractMultiSet","0/253"
"org.apache.commons.collections4.multiset.AbstractMultiSetDecorator","AbstractMultiSetDecorator","0/36"
"org.apache.commons.collections4.multiset.HashMultiSet","HashMultiSet","0/1"
"org.apache.commons.collections4.multiset.PredicatedMultiSet","PredicatedMultiSet","0/45"
"org.apache.commons.collections4.multiset.SynchronizedMultiSet","SynchronizedMultiSet","0/45"
"org.apache.commons.collections4.multiset.UnmodifiableMultiSet","UnmodifiableMultiSet","0/120"
"org.apache.commons.collections4.MultiSet","MultiSet","0/105"
"org.apache.commons.collections4.MultiSetUtils","MultiSetUtils","0/6"
"org.apache.commons.collections4.MultiValuedMap","MultiValuedMap","0/171"
"org.apache.commons.collections4.OrderedBidiMap","OrderedBidiMap","0/0"
"org.apache.commons.collections4.OrderedIterator","OrderedIterator","0/1"
"org.apache.commons.collections4.OrderedMap","OrderedMap","0/10"
"org.apache.commons.collections4.OrderedMapIterator","OrderedMapIterator","0/1"
"org.apache.commons.collections4.Predicate","Predicate","0/0"
"org.apache.commons.collections4.PredicateUtils","PredicateUtils","0/406"
"org.apache.commons.collections4.properties.AbstractPropertiesFactory","PropertyFormat","0/0"
"org.apache.commons.collections4.properties.PropertiesFactory","PropertiesFactory","0/0"
"org.apache.commons.collections4.properties.SortedProperties","SortedProperties","0/3"
"org.apache.commons.collections4.properties.SortedPropertiesFactory","SortedPropertiesFactory","0/0"
"org.apache.commons.collections4.Put","Put","0/3"
"org.apache.commons.collections4.queue.AbstractQueueDecorator","AbstractQueueDecorator","0/15"
"org.apache.commons.collections4.queue.CircularFifoQueue","CircularFifoQueue","58/153"
"org.apache.commons.collections4.queue.PredicatedQueue","PredicatedQueue","0/21"
"org.apache.commons.collections4.queue.SynchronizedQueue","SynchronizedQueue","0/36"
"org.apache.commons.collections4.queue.TransformedQueue","TransformedQueue","0/28"
"org.apache.commons.collections4.queue.UnmodifiableQueue","UnmodifiableQueue","0/91"
"org.apache.commons.collections4.QueueUtils","QueueUtils","0/10"
"org.apache.commons.collections4.ResettableIterator","ResettableIterator","0/0"
"org.apache.commons.collections4.ResettableListIterator","ResettableListIterator","0/0"
"org.apache.commons.collections4.sequence.CommandVisitor","CommandVisitor","0/3"
"org.apache.commons.collections4.sequence.DeleteCommand","DeleteCommand","0/0"
"org.apache.commons.collections4.sequence.EditCommand","EditCommand","0/1"
"org.apache.commons.collections4.sequence.EditScript","EditScript","2/15"
"org.apache.commons.collections4.sequence.InsertCommand","InsertCommand","0/0"
"org.apache.commons.collections4.sequence.KeepCommand","KeepCommand","0/0"
"org.apache.commons.collections4.sequence.ReplacementsFinder","ReplacementsFinder","2/3"
"org.apache.commons.collections4.sequence.ReplacementsHandler","ReplacementsHandler","0/0"
