"Package","Class Name","TCC value"
"org.apache.commons.collections4.sequence.SequencesComparator","SequencesComparator","6/6"
"org.apache.commons.collections4.set.AbstractNavigableSetDecorator","AbstractNavigableSetDecorator","0/66"
"org.apache.commons.collections4.set.AbstractSerializableSetDecorator","AbstractSerializableSetDecorator","0/1"
"org.apache.commons.collections4.set.AbstractSetDecorator","AbstractSetDecorator","0/3"
"org.apache.commons.collections4.set.AbstractSortedSetDecorator","AbstractSortedSetDecorator","0/21"
"org.apache.commons.collections4.set.CompositeSet","SetMutator","0/3"
"org.apache.commons.collections4.set.ListOrderedSet","ListOrderedSet","66/190"
"org.apache.commons.collections4.set.MapBackedSet","MapBackedSet","120/153"
"org.apache.commons.collections4.set.PredicatedNavigableSet","PredicatedNavigableSet","0/78"
"org.apache.commons.collections4.set.PredicatedSet","PredicatedSet","0/6"
"org.apache.commons.collections4.set.PredicatedSortedSet","PredicatedSortedSet","0/28"
"org.apache.commons.collections4.set.TransformedNavigableSet","TransformedNavigableSet","0/91"
"org.apache.commons.collections4.set.TransformedSet","TransformedSet","0/6"
"org.apache.commons.collections4.set.TransformedSortedSet","TransformedSortedSet","0/36"
"org.apache.commons.collections4.set.UnmodifiableNavigableSet","UnmodifiableNavigableSet","0/210"
"org.apache.commons.collections4.set.UnmodifiableSet","UnmodifiableSet","0/36"
"org.apache.commons.collections4.set.UnmodifiableSortedSet","UnmodifiableSortedSet","0/91"
"org.apache.commons.collections4.SetUtils","SetView","0/10"
"org.apache.commons.collections4.SetValuedMap","SetValuedMap","0/1"
"org.apache.commons.collections4.SortedBag","SortedBag","0/3"
"org.apache.commons.collections4.SortedBidiMap","SortedBidiMap","0/1"
"org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator","AbstractIterableGetMapDecorator","0/91"
"org.apache.commons.collections4.splitmap.TransformedSplitMap","TransformedSplitMap","4/45"
"org.apache.commons.collections4.SplitMapUtils","SplitMapUtils","0/1"
"org.apache.commons.collections4.Transformer","Transformer","0/0"
"org.apache.commons.collections4.TransformerUtils","TransformerUtils","0/253"
"org.apache.commons.collections4.trie.AbstractBitwiseTrie","AbstractBitwiseTrie","15/36"
"org.apache.commons.collections4.trie.AbstractPatriciaTrie",,
"org.apache.commons.collections4.trie.analyzer.StringKeyAnalyzer","StringKeyAnalyzer","10/15"
"org.apache.commons.collections4.trie.KeyAnalyzer","KeyAnalyzer","0/45"
"org.apache.commons.collections4.trie.PatriciaTrie","PatriciaTrie","0/0"
"org.apache.commons.collections4.trie.UnmodifiableTrie","UnmodifiableTrie","210/325"
"org.apache.commons.collections4.Trie","Trie","0/0"
"org.apache.commons.collections4.TrieUtils","TrieUtils","0/0"
"org.apache.commons.collections4.Unmodifiable","Unmodifiable","0/0"
"org.apache.commons.collections4.AbstractArrayListTest","AbstractArrayListTest","0/3"
"org.apache.commons.collections4.AbstractLinkedListTest","AbstractLinkedListTest","0/55"
"org.apache.commons.collections4.AbstractObjectTest","AbstractObjectTest","0/276"
"org.apache.commons.collections4.AbstractTreeMapTest","AbstractTreeMapTest","0/6"
"org.apache.commons.collections4.ArrayStackTest","ArrayStackTest","0/15"
"org.apache.commons.collections4.bag.AbstractBagTest","TestBagUniqueSet","0/55"
"org.apache.commons.collections4.bag.AbstractSortedBagTest","AbstractSortedBagTest","0/45"
"org.apache.commons.collections4.bag.CollectionBagTest","CollectionBagTest","0/15"
"org.apache.commons.collections4.bag.CollectionSortedBagTest","CollectionSortedBagTest","0/36"
"org.apache.commons.collections4.bag.HashBagTest","HashBagTest","0/3"
"org.apache.commons.collections4.bag.PredicatedBagTest","PredicatedBagTest","0/36"
"org.apache.commons.collections4.bag.PredicatedSortedBagTest","PredicatedSortedBagTest","0/28"
"org.apache.commons.collections4.bag.SynchronizedBagTest","SynchronizedBagTest","0/3"
"org.apache.commons.collections4.bag.TransformedBagTest","TransformedBagTest","0/10"
"org.apache.commons.collections4.bag.TransformedSortedBagTest","TransformedSortedBagTest","0/10"
"org.apache.commons.collections4.bag.TreeBagTest","TreeBagTest","0/21"
"org.apache.commons.collections4.bag.UnmodifiableBagTest","UnmodifiableBagTest","0/45"
"org.apache.commons.collections4.bag.UnmodifiableSortedBagTest","UnmodifiableSortedBagTest","0/45"
"org.apache.commons.collections4.BagUtilsTest","BagUtilsTest","2/28"
"org.apache.commons.collections4.bidimap.AbstractBidiMapTest","TestBidiMapIterator","0/28"
"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecoratorTest","AbstractOrderedBidiMapDecoratorTest","0/10"
"org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapTest","TestBidiOrderedMapIterator","0/28"
"org.apache.commons.collections4.bidimap.AbstractSortedBidiMapTest","AbstractSortedBidiMapTest","0/190"
"org.apache.commons.collections4.bidimap.DualHashBidiMapTest","DualHashBidiMapTest","0/3"
"org.apache.commons.collections4.bidimap.DualLinkedHashBidiMapTest","DualLinkedHashBidiMapTest","0/6"
"org.apache.commons.collections4.bidimap.DualTreeBidiMap2Test","DualTreeBidiMap2Test","0/45"
"org.apache.commons.collections4.bidimap.DualTreeBidiMapTest","DualTreeBidiMapTest","0/3"
"org.apache.commons.collections4.bidimap.TreeBidiMapTest","TreeBidiMapTest","0/28"
"org.apache.commons.collections4.bidimap.UnmodifiableBidiMapTest","UnmodifiableBidiMapTest","0/45"
"org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMapTest","UnmodifiableOrderedBidiMapTest","0/66"
"org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMapTest","UnmodifiableSortedBidiMapTest","0/78"
"org.apache.commons.collections4.bloomfilter.AbstractBloomFilterTest","AbstractBloomFilterTest","253/528"
"org.apache.commons.collections4.bloomfilter.ArrayCountingBloomFilterTest","ArrayCountingBloomFilterTest","10/496"
"org.apache.commons.collections4.bloomfilter.BitSetBloomFilterTest","BitSetBloomFilterTest","0/1"
"org.apache.commons.collections4.bloomfilter.BloomFilterIndexerTest","BloomFilterIndexerTest","0/6"
"org.apache.commons.collections4.bloomfilter.DefaultBloomFilterMethodsTest","DefaultBloomFilterMethodsTest","0/1"
"org.apache.commons.collections4.bloomfilter.FixedIndexesTestHasher",,
"org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest","DynamicHasherBuilderTest","15/15"
"org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherTest","DynamicHasherTest","6/6"
"org.apache.commons.collections4.bloomfilter.hasher.function.AbstractHashFunctionTest","AbstractHashFunctionTest","0/1"
"org.apache.commons.collections4.bloomfilter.hasher.function.MD5CyclicTest","MD5CyclicTest","0/1"
"org.apache.commons.collections4.bloomfilter.hasher.function.Murmur128x64CyclicTest","Murmur128x64CyclicTest","0/1"
"org.apache.commons.collections4.bloomfilter.hasher.function.Murmur32x86IterativeTest","Murmur32x86IterativeTest","0/1"
"org.apache.commons.collections4.bloomfilter.hasher.function.ObjectsHashIterativeTest","ObjectsHashIterativeTest","0/1"
"org.apache.commons.collections4.bloomfilter.hasher.HasherBuilderTest","HasherBuilderTest","0/3"
"org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentityImplTest","HashFunctionIdentityImplTest","0/1"
"org.apache.commons.collections4.bloomfilter.hasher.HashFunctionValidatorTest","HashFunctionValidatorTest","0/15"
"org.apache.commons.collections4.bloomfilter.hasher.ShapeTest","ShapeTest","137/253"
"org.apache.commons.collections4.bloomfilter.hasher.StaticHasherTest","StaticHasherTest","55/55"
"org.apache.commons.collections4.bloomfilter.HasherBloomFilterTest","HasherBloomFilterTest","0/10"
"org.apache.commons.collections4.bloomfilter.IndexFilterTest","IndexFilterTest","1/6"
"org.apache.commons.collections4.bloomfilter.SetOperationsTest","SetOperationsTest","78/78"
"org.apache.commons.collections4.BulkTest","BulkTest","0/6"
"org.apache.commons.collections4.BulkTestSuiteMaker",,
"org.apache.commons.collections4.ClosureUtilsTest","ClosureUtilsTest","0/66"
"org.apache.commons.collections4.collection.AbstractCollectionTest","AbstractCollectionTest","2/1128"
"org.apache.commons.collections4.collection.CompositeCollectionTest","CompositeCollectionTest","136/406"
"org.apache.commons.collections4.collection.IndexedCollectionTest","IndexedCollectionTest","0/105"
"org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest","PredicatedCollectionBuilderTest","0/21"
"org.apache.commons.collections4.collection.PredicatedCollectionTest","PredicatedCollectionTest","1/45"
"org.apache.commons.collections4.collection.SynchronizedCollectionTest","SynchronizedCollectionTest","0/6"
"org.apache.commons.collections4.collection.TransformedCollectionTest","TransformedCollectionTest","2/36"
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest","UnmodifiableBoundedCollectionTest","0/45"
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest","UnmodifiableCollectionTest","0/36"
"org.apache.commons.collections4.CollectionUtilsTest","CollectionUtilsTest","777/13203"
"org.apache.commons.collections4.comparators.AbstractComparatorTest","AbstractComparatorTest","0/78"
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest","TestNullComparator2","0/6"
"org.apache.commons.collections4.comparators.BooleanComparatorTest","BooleanComparatorTest","0/55"
"org.apache.commons.collections4.comparators.ComparableComparatorTest","ComparableComparatorTest","0/3"
"org.apache.commons.collections4.comparators.ComparatorChainTest","ColumnComparator","3/3"
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest","FixedOrderComparatorTest","28/45"
"org.apache.commons.collections4.comparators.ReverseComparatorTest","ReverseComparatorTest","0/6"
"org.apache.commons.collections4.comparators.TransformingComparatorTest","TransformingComparatorTest","0/6"
"org.apache.commons.collections4.ComparatorUtilsTest","ComparatorUtilsTest","0/15"
"org.apache.commons.collections4.EnumerationUtilsTest","EnumerationUtilsTest","0/10"
"org.apache.commons.collections4.FactoryUtilsTest","Mock3","0/0"
"org.apache.commons.collections4.FluentIterableTest","FluentIterableTest","175/351"
"org.apache.commons.collections4.functors.AbstractAnyAllOnePredicateTest","AbstractAnyAllOnePredicateTest","0/3"
"org.apache.commons.collections4.functors.AbstractClosureTest","AbstractClosureTest","0/1"
"org.apache.commons.collections4.functors.AbstractCompositePredicateTest","AbstractCompositePredicateTest","0/45"
"org.apache.commons.collections4.functors.AbstractMockPredicateTest","AbstractMockPredicateTest","4/6"
"org.apache.commons.collections4.functors.AbstractPredicateTest","AbstractPredicateTest","0/10"
"org.apache.commons.collections4.functors.AllPredicateTest","AllPredicateTest","0/28"
"org.apache.commons.collections4.functors.CatchAndRethrowClosureTest","CatchAndRethrowClosureTest","0/10"
"org.apache.commons.collections4.functors.ComparatorPredicateTest","ComparatorPredicateTest","0/15"
"org.apache.commons.collections4.functors.EqualPredicateTest","EqualsTestObject","0/0"
"org.apache.commons.collections4.functors.NullPredicateTest","NullPredicateTest","0/3"
"org.apache.commons.collections4.IterableUtilsTest","IterableUtilsTest","34/231"
"org.apache.commons.collections4.iterators.AbstractIteratorTest","AbstractIteratorTest","0/36"
"org.apache.commons.collections4.iterators.AbstractListIteratorTest","AbstractListIteratorTest","0/66"
"org.apache.commons.collections4.iterators.AbstractMapIteratorTest","AbstractMapIteratorTest","0/91"
"org.apache.commons.collections4.iterators.AbstractOrderedMapIteratorTest","AbstractOrderedMapIteratorTest","0/10"
"org.apache.commons.collections4.iterators.ArrayIterator2Test","ArrayIterator2Test","3/28"
"org.apache.commons.collections4.iterators.ArrayIteratorTest","ArrayIteratorTest","1/15"
"org.apache.commons.collections4.iterators.ArrayListIterator2Test","ArrayListIterator2Test","0/10"
"org.apache.commons.collections4.iterators.ArrayListIteratorTest","ArrayListIteratorTest","0/15"
"org.apache.commons.collections4.iterators.BoundedIteratorTest","BoundedIteratorTest","105/120"
"org.apache.commons.collections4.iterators.CollatingIteratorTest","CollatingIteratorTest","55/66"
"org.apache.commons.collections4.iterators.FilterIteratorTest","FilterIteratorTest","25/91"
"org.apache.commons.collections4.iterators.FilterListIteratorTest","FilterListIteratorTest","136/231"
"org.apache.commons.collections4.iterators.IteratorChainTest","IteratorChainTest","7/28"
"org.apache.commons.collections4.iterators.IteratorEnumerationTest","IteratorEnumerationTest","0/0"
"org.apache.commons.collections4.iterators.IteratorIterableTest","IteratorIterableTest","0/10"
"org.apache.commons.collections4.iterators.LazyIteratorChainTest","LazyIteratorChainTest","7/28"
"org.apache.commons.collections4.iterators.ListIteratorWrapper2Test","ListIteratorWrapper2Test","4/15"
"org.apache.commons.collections4.iterators.ListIteratorWrapperTest","ListIteratorWrapperTest","4/15"
"org.apache.commons.collections4.iterators.LoopingIteratorTest","LoopingIteratorTest","0/28"
"org.apache.commons.collections4.iterators.LoopingListIteratorTest","LoopingListIteratorTest","0/66"
"org.apache.commons.collections4.iterators.NodeListIteratorTest","NodeListIteratorTest","7/21"
"org.apache.commons.collections4.iterators.ObjectArrayIteratorTest","ObjectArrayIteratorTest","3/45"
"org.apache.commons.collections4.iterators.ObjectArrayListIterator2Test","ObjectArrayListIterator2Test","0/10"
"org.apache.commons.collections4.iterators.ObjectArrayListIteratorTest","ObjectArrayListIteratorTest","0/10"
"org.apache.commons.collections4.iterators.ObjectGraphIteratorTest","ObjectGraphIteratorTest","36/153"
"org.apache.commons.collections4.iterators.PeekingIteratorTest","PeekingIteratorTest","2/45"
"org.apache.commons.collections4.iterators.PermutationIteratorTest","PermutationIteratorTest","1/55"
"org.apache.commons.collections4.iterators.PushbackIteratorTest","PushbackIteratorTest","1/36"
"org.apache.commons.collections4.iterators.ReverseListIteratorTest","ReverseListIteratorTest","0/15"
"org.apache.commons.collections4.iterators.SingletonIterator2Test","SingletonIterator2Test","6/15"
"org.apache.commons.collections4.iterators.SingletonIteratorTest","SingletonIteratorTest","3/21"
"org.apache.commons.collections4.iterators.SingletonListIteratorTest","SingletonListIteratorTest","3/21"
"org.apache.commons.collections4.iterators.SkippingIteratorTest","SkippingIteratorTest","66/78"
"org.apache.commons.collections4.iterators.UniqueFilterIteratorTest","UniqueFilterIteratorTest","1/6"
"org.apache.commons.collections4.iterators.UnmodifiableIteratorTest","UnmodifiableIteratorTest","3/15"
"org.apache.commons.collections4.iterators.UnmodifiableListIteratorTest","UnmodifiableListIteratorTest","3/28"
"org.apache.commons.collections4.iterators.UnmodifiableMapIteratorTest","UnmodifiableMapIteratorTest","0/28"
"org.apache.commons.collections4.iterators.UnmodifiableOrderedMapIteratorTest","UnmodifiableOrderedMapIteratorTest","0/28"
"org.apache.commons.collections4.iterators.ZippingIteratorTest","ZippingIteratorTest","36/45"
"org.apache.commons.collections4.IteratorUtilsTest","IteratorUtilsTest","21/1378"
"org.apache.commons.collections4.junit.AbstractAvailableLocalesTest","AbstractAvailableLocalesTest","0/3"
"org.apache.commons.collections4.junit.ObjectToStringComparator","ObjectToStringComparator","0/0"
"org.apache.commons.collections4.junit.SetDefaultLocaleTestRule","SetDefaultLocaleTestRule","0/1"
"org.apache.commons.collections4.keyvalue.AbstractMapEntryTest","AbstractMapEntryTest","6/36"
"org.apache.commons.collections4.keyvalue.DefaultKeyValueTest","DefaultKeyValueTest","15/28"
"org.apache.commons.collections4.keyvalue.DefaultMapEntryTest","DefaultMapEntryTest","0/6"
"org.apache.commons.collections4.keyvalue.MultiKeyTest","MultiKeyTest","45/78"
"org.apache.commons.collections4.keyvalue.TiedMapEntryTest","TiedMapEntryTest","0/3"
"org.apache.commons.collections4.keyvalue.UnmodifiableMapEntryTest","UnmodifiableMapEntryTest","0/15"
"org.apache.commons.collections4.list.AbstractLinkedListTest","AbstractLinkedListTest","0/21"
"org.apache.commons.collections4.list.AbstractListTest","TestListIterator","0/15"
"org.apache.commons.collections4.list.Collections701Test","Collections701Test","0/3"
"org.apache.commons.collections4.list.CursorableLinkedListTest","CursorableLinkedListTest","1378/1540"
"org.apache.commons.collections4.list.FixedSizeListTest","FixedSizeListTest","0/78"
"org.apache.commons.collections4.list.GrowthListTest","GrowthListTest","0/66"
"org.apache.commons.collections4.list.LazyListTest","LazyListTest","0/78"
"org.apache.commons.collections4.list.NodeCachingLinkedListTest","NodeCachingLinkedListTest","0/15"
"org.apache.commons.collections4.list.PredicatedListTest","PredicatedListTest","0/45"
"org.apache.commons.collections4.list.SetUniqueListTest","SetUniqueListTest","1/378"
"org.apache.commons.collections4.list.TransformedListTest","TransformedListTest","0/28"
"org.apache.commons.collections4.list.TreeListTest","TreeListTest","0/55"
"org.apache.commons.collections4.list.UnmodifiableListTest","UnmodifiableListTest","15/55"
"org.apache.commons.collections4.ListUtilsTest","ListUtilsTest","68/325"
"org.apache.commons.collections4.map.AbstractIterableMapTest","InnerTestMapIterator","0/36"
"org.apache.commons.collections4.map.AbstractMapTest","TestMapValues","0/91"
"org.apache.commons.collections4.map.AbstractOrderedMapTest","InnerTestOrderedMapIterator","0/28"
"org.apache.commons.collections4.map.AbstractSortedMapTest","TestSubMap","3/6"
"org.apache.commons.collections4.map.CaseInsensitiveMapTest","CaseInsensitiveMapTest","0/36"
"org.apache.commons.collections4.map.CompositeMapTest","CompositeMapTest","6/78"
"org.apache.commons.collections4.map.DefaultedMapTest","DefaultedMapTest","1/21"
"org.apache.commons.collections4.map.EmptyMapMutator",,
"org.apache.commons.collections4.map.FixedSizeMapTest","FixedSizeMapTest","0/10"
"org.apache.commons.collections4.map.FixedSizeSortedMapTest","FixedSizeSortedMapTest","0/21"
"org.apache.commons.collections4.map.Flat3MapTest","TestFlatMapIterator","0/28"
"org.apache.commons.collections4.map.HashedMapTest","HashedMapTest","0/15"
"org.apache.commons.collections4.map.IdentityMap","IdentityMap","0/21"
"org.apache.commons.collections4.map.LazyMapTest","LazyMapTest","0/10"
"org.apache.commons.collections4.map.LazySortedMapTest","LazySortedMapTest","6/28"
"org.apache.commons.collections4.map.LinkedMapTest","TestListView","0/28"
"org.apache.commons.collections4.map.ListOrderedMap2Test","TestListView","0/28"
"org.apache.commons.collections4.map.ListOrderedMapTest","TestValueListView","0/28"
"org.apache.commons.collections4.map.LRUMapTest","LRUMapTest","0/231"
"org.apache.commons.collections4.map.MultiKeyMapTest","MultiKeyMapTest","27/231"
"org.apache.commons.collections4.map.MultiValueMapTest","MultiValueMapTest","0/595"
"org.apache.commons.collections4.map.PassiveExpiringMapTest","PassiveExpiringMapTest","0/171"
"org.apache.commons.collections4.map.PredicatedMapTest","PredicatedMapTest","0/15"
"org.apache.commons.collections4.map.PredicatedSortedMapTest","PredicatedSortedMapTest","2/55"
"org.apache.commons.collections4.map.ReferenceIdentityMapTest","ReferenceIdentityMapTest","2/66"
"org.apache.commons.collections4.map.ReferenceMapTest","ReferenceMapTest","1/55"
"org.apache.commons.collections4.map.SingletonMapTest","SingletonMapTest","9/78"
"org.apache.commons.collections4.map.StaticBucketMapTest","StaticBucketMapTest","0/21"
"org.apache.commons.collections4.map.TransformedMapTest","TransformedMapTest","0/10"
"org.apache.commons.collections4.map.TransformedSortedMapTest","TransformedSortedMapTest","0/28"
"org.apache.commons.collections4.map.UnmodifiableMapTest","UnmodifiableMapTest","0/28"
"org.apache.commons.collections4.map.UnmodifiableOrderedMapTest","UnmodifiableOrderedMapTest","0/28"
"org.apache.commons.collections4.map.UnmodifiableSortedMapTest","UnmodifiableSortedMapTest","0/55"
"org.apache.commons.collections4.MapPerformance","MapPerformance","0/3"
"org.apache.commons.collections4.MapUtilsTest","MapUtilsTest","3/2211"
"org.apache.commons.collections4.MockTestCase","MockTestCase","3/10"
"org.apache.commons.collections4.multimap.AbstractMultiValuedMapTest","TestMultiValuedMapAsMap","0/55"
"org.apache.commons.collections4.multimap.ArrayListValuedHashMapTest","ArrayListValuedHashMapTest","0/78"
"org.apache.commons.collections4.multimap.HashSetValuedHashMapTest","HashSetValuedHashMapTest","0/55"
"org.apache.commons.collections4.multimap.TransformedMultiValuedMapTest","TransformedMultiValuedMapTest","0/15"
"org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMapTest","UnmodifiableMultiValuedMapTest","0/190"
"org.apache.commons.collections4.MultiMapUtilsTest","MultiMapUtilsTest","0/45"
"org.apache.commons.collections4.multiset.AbstractMultiSetTest","TestMultiSetUniqueSet","0/55"
"org.apache.commons.collections4.multiset.HashMultiSetTest","HashMultiSetTest","0/3"
"org.apache.commons.collections4.multiset.PredicatedMultiSetTest","PredicatedMultiSetTest","0/36"
"org.apache.commons.collections4.multiset.SynchronizedMultiSetTest","SynchronizedMultiSetTest","0/3"
"org.apache.commons.collections4.multiset.UnmodifiableMultiSetTest","UnmodifiableMultiSetTest","0/91"
"org.apache.commons.collections4.MultiSetUtilsTest","MultiSetUtilsTest","6/10"
"org.apache.commons.collections4.PredicateUtilsTest","PredicateUtilsTest","0/2080"
"org.apache.commons.collections4.properties.AbstractPropertiesFactoryTest","AbstractPropertiesFactoryTest","38/78"
"org.apache.commons.collections4.properties.EmptyPropertiesTest","EmptyPropertiesTest","0/1035"
"org.apache.commons.collections4.properties.PropertiesFactoryTest","PropertiesFactoryTest","0/0"
"org.apache.commons.collections4.properties.SortedPropertiesFactoryTest","SortedPropertiesFactoryTest","0/0"
"org.apache.commons.collections4.properties.SortedPropertiesTest","SortedPropertiesTest","0/1"
"org.apache.commons.collections4.queue.AbstractQueueTest","AbstractQueueTest","0/120"
"org.apache.commons.collections4.queue.CircularFifoQueueTest","CircularFifoQueueTest","0/351"
"org.apache.commons.collections4.queue.PredicatedQueueTest","PredicatedQueueTest","1/36"
"org.apache.commons.collections4.queue.SynchronizedQueueTest","SynchronizedQueueTest","0/6"
"org.apache.commons.collections4.queue.TransformedQueueTest","TransformedQueueTest","0/21"
"org.apache.commons.collections4.queue.UnmodifiableQueueTest","UnmodifiableQueueTest","0/91"
"org.apache.commons.collections4.QueueUtilsTest","QueueUtilsTest","0/10"
"org.apache.commons.collections4.sequence.SequencesComparatorTest","SequencesComparatorTest","6/21"
"org.apache.commons.collections4.set.AbstractNavigableSetTest","TestNavigableSetSubSet","0/120"
"org.apache.commons.collections4.set.AbstractSetTest","AbstractSetTest","0/45"
"org.apache.commons.collections4.set.AbstractSortedSetTest","TestSortedSetSubSet","0/78"
"org.apache.commons.collections4.set.CompositeSetTest","CompositeSetTest","0/66"
"org.apache.commons.collections4.set.EmptySetMutator",,
"org.apache.commons.collections4.set.ListOrderedSet2Test","ListOrderedSet2Test","1/15"
"org.apache.commons.collections4.set.ListOrderedSetTest","ListOrderedSetTest","1/45"
"org.apache.commons.collections4.set.MapBackedSet2Test","MapBackedSet2Test","0/10"
"org.apache.commons.collections4.set.MapBackedSetTest","MapBackedSetTest","0/1"
"org.apache.commons.collections4.set.PredicatedNavigableSetTest","PredicatedNavigableSetTest","1/36"
"org.apache.commons.collections4.set.PredicatedSetTest","PredicatedSetTest","0/28"
"org.apache.commons.collections4.set.PredicatedSortedSetTest","PredicatedSortedSetTest","1/36"
"org.apache.commons.collections4.set.TransformedNavigableSetTest","TransformedNavigableSetTest","0/15"
"org.apache.commons.collections4.set.TransformedSetTest","TransformedSetTest","0/21"
"org.apache.commons.collections4.set.TransformedSortedSetTest","TransformedSortedSetTest","0/15"
"org.apache.commons.collections4.set.UnmodifiableNavigableSetTest","UnmodifiableNavigableSetTest","15/55"
"org.apache.commons.collections4.set.UnmodifiableSetTest","UnmodifiableSetTest","0/28"
"org.apache.commons.collections4.set.UnmodifiableSortedSetTest","UnmodifiableSortedSetTest","15/55"
"org.apache.commons.collections4.SetUtilsTest","SetUtilsTest","10/78"
"org.apache.commons.collections4.splitmap.TransformedSplitMapTest","TransformedSplitMapTest","1/6"
"org.apache.commons.collections4.SplitMapUtilsTest","SplitMapUtilsTest","3/21"
"org.apache.commons.collections4.TestUtils","TestUtils","0/1"
"org.apache.commons.collections4.TransformerUtilsTest","TransformerUtilsTest","45/153"
"org.apache.commons.collections4.trie.PatriciaTrie2Test","PatriciaTrie2Test","0/6"
"org.apache.commons.collections4.trie.PatriciaTrieTest","PatriciaTrieTest","0/55"
"org.apache.commons.collections4.trie.UnmodifiableTrieTest","UnmodifiableTrieTest","0/45"
"org.apache.commons.collections4.TrieUtilsTest","TrieUtilsTest","0/0"
